31160:NAME  BrxA_00019
39491:NAME  BrxA_00022
127949:NAME  BrxB_00001
289281:NAME  BrxL_00005
353791:NAME  BrxF_00004
362827:NAME  BrxA_00005
412849:NAME  BrxA_00014
610110:NAME  BrxC_00005
694234:NAME  BrxA_00021
699541:NAME  BrxA_00009
708775:NAME  BrxB_00005
796741:NAME  BrxB_00008
831496:NAME  BrxHI_00003
900332:NAME  BrxD_00001
954329:NAME  BrxC_00006
1104418:NAME  BrxC_00007
1146028:NAME  BrxA_00003
1167813:NAME  BrxC_00020
1212747:NAME  BrxA_00001
1491526:NAME  BrxC_00002
1513504:NAME  BrxC_00011
1575233:NAME  BrxC_00023
1693045:NAME  BrxB_00010
1841866:NAME  BrxA_00018
1943095:NAME  BrxC_00013
1990823:NAME  BrxC_00010
2120137:NAME  BrxA_00017
2165928:NAME  BrxF_00001
2224194:NAME  BrxE_00001
2250883:NAME  BrxC_00009
2334027:NAME  BrxF_00003
2430272:NAME  BrxB_00006
2487441:NAME  BrxB_00002
2505477:NAME  BrxHI_00004
2586508:NAME  BrxA_00010
2592968:NAME  BrxA_00006
2648156:NAME  BrxA_00015
3150304:NAME  BrxC_00012
3207918:NAME  BrxB_00011
3412694:NAME  BrxB_00004
3687960:NAME  BrxC_00016
3719571:NAME  BrxP_00001
3804433:NAME  BrxA_00004
3809926:NAME  BrxA_00020
3880856:NAME  BrxA_00013
3932819:NAME  BrxF_00002
3941351:NAME  BrxHII_00001
3959789:NAME  BrxP_00002
3978108:NAME  BrxHI_00002
3999898:NAME  BrxB_00012
4056911:NAME  BrxC_00015
4061063:NAME  BrxB_00003
4398561:NAME  BrxA_00008
4581362:NAME  BrxA_00011
4606386:NAME  BrxL_00003
4771928:NAME  BrxB_00007
4892573:NAME  BrxL_00004
5031588:NAME  BrxA_00012
5214736:NAME  BrxA_00002
5309404:NAME  BrxHI_00001
5337076:NAME  BrxL_00001
5598125:NAME  BrxC_00021
5637396:NAME  BrxC_00001
5799733:NAME  BrxA_00016
5834507:NAME  BrxA_00007
5849120:NAME  BrxB_00009
5973387:NAME  BrxC_00008
5987278:NAME  BrxC_00018
5995357:NAME  BrxC_00022
6101924:NAME  BrxC_00004
6201483:NAME  BrxC_00014
6352668:NAME  BrxC_00003
6381358:NAME  BrxL_00002
6427459:NAME  BrxC_00017
6432218:NAME  BrxC_00019
237783:NAME  PglZ_00024
479580:NAME  PglZ_00006
562065:NAME  PglZ_00021
575478:NAME  PglX_00016
598437:NAME  PglX_00018
620766:NAME  PglZ_00013
646683:NAME  PglX_00019
674635:NAME  PglX_00020
780156:NAME  PglX_00015
910220:NAME  PglX_00007
1154609:NAME  PglW_00002
1548680:NAME  PglZ_00014
1646487:NAME  PglZ_00020
1676280:NAME  PglZ_00015
1711680:NAME  PglX_00001
2080055:NAME  PglZ_00012
2089785:NAME  PglZ_00019
2092860:NAME  PglX_00006
2191282:NAME  PglZ_00007
2224809:NAME  PglZ_00008
2239590:NAME  PglXI_00001
2692956:NAME  PglW_00001
2835684:NAME  PglZ_00001
2879961:NAME  PglZ_00005
2928812:NAME  PglZ_00016
3219280:NAME  PglZ_00003
3361401:NAME  PglX_00011
3458090:NAME  PglX_00023
3463277:NAME  PglZ_00004
3542671:NAME  PglX_00005
3581787:NAME  PglX_00021
3681948:NAME  PglX_00012
3722508:NAME  PglX_00014
3897044:NAME  PglZ_00018
3970532:NAME  PglW_00003
4021454:NAME  PglZ_00022
4204270:NAME  PglX_00024
4261957:NAME  PglZ_00017
4385901:NAME  PglZ_00009
4867088:NAME  PglX_00002
5107907:NAME  PglX_00009
5392111:NAME  PglX_00013
5626263:NAME  PglZ_00023
5697446:NAME  PglX_00003
5705918:NAME  PglX_00008
5842955:NAME  PglX_00026
5860202:NAME  PglZ_00025
5864117:NAME  PglZ_00010
5939616:NAME  PglZ_00011
5956770:NAME  PglX_00022
5964078:NAME  PglZ_00002
6001228:NAME  PglX_00004
6096458:NAME  PglX_00010
6192702:NAME  PglX_00025
6398824:NAME  PglX_00017
