replicon,type,subtype,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,accession_in_sys,Superkingdom,phylum,class,order,family,genus,species,sys_id
GCF_022430505.1_NZ_CP092493,BREX,BREX_I,GCF_022430505.1_NZ_CP092493_00090,GCF_022430505.1_NZ_CP092493_00099,"GCF_022430505.1_NZ_CP092493_00090,GCF_022430505.1_NZ_CP092493_00091,GCF_022430505.1_NZ_CP092493_00092,GCF_022430505.1_NZ_CP092493_00094,GCF_022430505.1_NZ_CP092493_00097,GCF_022430505.1_NZ_CP092493_00098,GCF_022430505.1_NZ_CP092493_00099",7,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_108168496.1,WP_001201808.1,MJ253_RS00460,MJ253_RS00470,MJ253_RS00485,MJ253_RS00490,MJ253_RS00495",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,GCF_022430505_NZ_CP092493_BREX_I_2
GCF_023734955.1_NZ_AP025784,BREX,BREX_I,GCF_023734955.1_NZ_AP025784_00525,GCF_023734955.1_NZ_AP025784_00532,"GCF_023734955.1_NZ_AP025784_00525,GCF_023734955.1_NZ_AP025784_00526,GCF_023734955.1_NZ_AP025784_00527,GCF_023734955.1_NZ_AP025784_00528,GCF_023734955.1_NZ_AP025784_00531,GCF_023734955.1_NZ_AP025784_00532",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_032621392.1,WP_032621390.1,NGJ22_RS02635,NGJ22_RS02640,NGJ22_RS02655,NGJ22_RS02660",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei,GCF_023734955_NZ_AP025784_BREX_I_2
GCF_016772275.1_NZ_CP065425,BREX,BREX_V,GCF_016772275.1_NZ_CP065425_03822,GCF_016772275.1_NZ_CP065425_03828,"GCF_016772275.1_NZ_CP065425_03822,GCF_016772275.1_NZ_CP065425_03823,GCF_016772275.1_NZ_CP065425_03824,GCF_016772275.1_NZ_CP065425_03825,GCF_016772275.1_NZ_CP065425_03826,GCF_016772275.1_NZ_CP065425_03827,GCF_016772275.1_NZ_CP065425_03828",7,"BREX__brxHII,BREX__pglZA,BREX__pglX1,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","WP_202780866.1,I5776_RS19080,I5776_RS19085,I5776_RS19090,I5776_RS19095,WP_246483846.1,WP_202778096.1",Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia,Heyndrickxia vini,GCF_016772275_NZ_CP065425_BREX_V_2
GCF_015169395.1_NZ_CP063458,BREX,BREX_I,GCF_015169395.1_NZ_CP063458_04945,GCF_015169395.1_NZ_CP063458_04950,"GCF_015169395.1_NZ_CP063458_04945,GCF_015169395.1_NZ_CP063458_04946,GCF_015169395.1_NZ_CP063458_04947,GCF_015169395.1_NZ_CP063458_04949,GCF_015169395.1_NZ_CP063458_04950",5,"BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZB,BREX__brxL","WP_206292406.1,IPV69_RS24760,WP_206292408.1,IPV69_RS24775,IPV69_RS24780",Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Humisphaera,Humisphaera borealis,GCF_015169395_NZ_CP063458_BREX_I_2
GCF_004114955.1_NZ_CP030053,BREX,BREX,GCF_004114955.1_NZ_CP030053_05565,GCF_004114955.1_NZ_CP030053_05572,"GCF_004114955.1_NZ_CP030053_05565,GCF_004114955.1_NZ_CP030053_05566,GCF_004114955.1_NZ_CP030053_05567,GCF_004114955.1_NZ_CP030053_05568,GCF_004114955.1_NZ_CP030053_05569,GCF_004114955.1_NZ_CP030053_05570,GCF_004114955.1_NZ_CP030053_05571,GCF_004114955.1_NZ_CP030053_05572",8,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819,BREX__brxE","XH91_RS28020,WP_128955024.1,WP_128953591.1,WP_128953592.1,XH91_RS28040,WP_128953594.1,WP_128953595.1,WP_128953596.1",Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium guangzhouense,GCF_004114955_NZ_CP030053_BREX_1
GCF_017565685.3_NZ_CP096251,BREX,BREX,GCF_017565685.3_NZ_CP096251_03169,GCF_017565685.3_NZ_CP096251_03177,"GCF_017565685.3_NZ_CP096251_03169,GCF_017565685.3_NZ_CP096251_03170,GCF_017565685.3_NZ_CP096251_03171,GCF_017565685.3_NZ_CP096251_03172,GCF_017565685.3_NZ_CP096251_03174,GCF_017565685.3_NZ_CP096251_03176,GCF_017565685.3_NZ_CP096251_03177",7,"BREX__brxE,BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__pglX1,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_225048692.1,WP_208073941.1,WP_248594450.1,WP_208072559.1,WP_208072557.1,WP_208072555.1,J4G48_RS15890",Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium barranii,GCF_017565685_NZ_CP096251_BREX_1
GCF_023023685.1_NZ_CP083853,BREX,BREX_I,GCF_023023685.1_NZ_CP083853_00546,GCF_023023685.1_NZ_CP083853_00551,"GCF_023023685.1_NZ_CP083853_00546,GCF_023023685.1_NZ_CP083853_00547,GCF_023023685.1_NZ_CP083853_00548,GCF_023023685.1_NZ_CP083853_00549,GCF_023023685.1_NZ_CP083853_00550,GCF_023023685.1_NZ_CP083853_00551",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","LCD45_RS02730,LCD45_RS02735,LCD45_RS02740,LCD45_RS02745,WP_045335537.1,WP_102135186.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,GCF_023023685_NZ_CP083853_BREX_I_2
GCF_002787395.1_NZ_CP024812,BREX,BREX_I,GCF_002787395.1_NZ_CP024812_00176,GCF_002787395.1_NZ_CP024812_00185,"GCF_002787395.1_NZ_CP024812_00176,GCF_002787395.1_NZ_CP024812_00177,GCF_002787395.1_NZ_CP024812_00178,GCF_002787395.1_NZ_CP024812_00180,GCF_002787395.1_NZ_CP024812_00183,GCF_002787395.1_NZ_CP024812_00184,GCF_002787395.1_NZ_CP024812_00185",7,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_039268699.1,WP_001201808.1,CU081_RS00925,CU081_RS00935,CU081_RS00950,CU081_RS00955,CU081_RS00960",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter sp. CRENT-193,GCF_002787395_NZ_CP024812_BREX_I_2
GCF_013462275.1_NZ_CP040183,BREX,BREX_I,GCF_013462275.1_NZ_CP040183_04886,GCF_013462275.1_NZ_CP040183_04891,"GCF_013462275.1_NZ_CP040183_04886,GCF_013462275.1_NZ_CP040183_04887,GCF_013462275.1_NZ_CP040183_04888,GCF_013462275.1_NZ_CP040183_04889,GCF_013462275.1_NZ_CP040183_04890,GCF_013462275.1_NZ_CP040183_04891",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_099144795.1,WP_014837242.1,FDZ05_RS24350,FDZ05_RS24355,FDZ05_RS24360,FDZ05_RS24365",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella planticola,GCF_013462275_NZ_CP040183_BREX_I_2
GCF_007990525.1_NZ_AP019823,BREX,BREX_I,GCF_007990525.1_NZ_AP019823_00151,GCF_007990525.1_NZ_AP019823_00162,"GCF_007990525.1_NZ_AP019823_00151,GCF_007990525.1_NZ_AP019823_00152,GCF_007990525.1_NZ_AP019823_00153,GCF_007990525.1_NZ_AP019823_00155,GCF_007990525.1_NZ_AP019823_00161,GCF_007990525.1_NZ_AP019823_00162",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_026745401.1,WP_026745400.1,FVE77_RS00755,FVE77_RS00765,FVE77_RS00795,FVE77_RS00800",Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia hofstadii,GCF_007990525_NZ_AP019823_BREX_I_2
